edad;sexo;actividad;descripcion_de_actividad;barrio;comuna;fecha;monto
66;hombre;servicios;entretenimiento;bosque;4;21/3/2018;2500000
56;hombre;comercio;comercio;santo domingo;1;10/11/2016;2000000
58;hombre;comercio;ventas diversas;santo domingo;1;28/11/2018;3000000
57;hombre;comercio;comercio;limonar 1 y limonar 2;80;14/4/2016;690000
57;hombre;comercio;comercio;bello oriente;1;18/10/2016;2000000
58;hombre;comercio;venta de alimentos;limonar # 2;80;24/11/2017;2000000
39;hombre;comercio;artesanias - manualidades;por definir;4;12/4/2018;3000000
42;hombre;comercio;ventas diversas;los colores;11;25/10/2018;1150000
38;hombre;produccion;diseño, impresion y estampacion de marquillas para confecciones y comercializacion de insumos como naylon y adhesivos.;belen la palma;;22/4/2019;8200000
58;hombre;comercio;ventas diversas;santo domingo;1;18/4/2017;5000000
50;hombre;comercio;tiendas - venta de alimentos;parque bolivar;10;11/7/2018;4500000
33;hombre;comercio;venta de comidas preparadas;chagualo;10;20/11/2017;7000000
32;hombre;produccion;confecciones;sanjavier;13;23/2/2017;6000000
34;hombre;comercio;ventas diversas;la america -santa monica;12;13/6/2018;4500000
33;hombre;comercio;venta de comidas preparadas;20 de julio;13;22/8/2017;7370000
32;hombre;comercio;ventas diversas;calasanz;12;19/5/2017;6000000
;hombre;comercio;venta de alimentos;belen las violetas;16;14/3/2017;5000000
32;hombre;comercio;venta de comidas preparadas;guayabal;15;8/8/2017;2.00E+07
45;hombre;comercio;ventas diversas;centro;10;22/8/2017;5000000
;hombre;produccion;marroquineria;sucre boston;8;13/3/2017;6500000
34;hombre;comercio;ventas diversas;caracoli-san cristobal;60;22/1/2019;4000000
32;hombre;comercio;venta de comidas preparadas;centro-parque del periodista;10;22/8/2017;6000000
64;hombre;comercio;comercio;san jose de la cima;3;23/5/2016;5000000
67;hombre;comercio;ventas de alimentos;san jose de la cima;3;13/12/2018;5000000
;hombre;comercio;ventas diversas;campo valdes;4;27/3/2017;7377000
55;hombre;comercio;ventas diversas;campo valdes;4;21/9/2018;7600000
44;hombre;comercio;comercio;el socorro;13;22/8/2016;5000000
35;hombre;servicios;belleza y estetica;campo valdes;4;12/4/2018;1500000
33;hombre;comercio;ventas diversas;miramar;7;18/5/2017;7000000
